,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
464,GSM,427,1,9102,40351,0,51.59502,25.151768,1042,72,1,1352369120,1477006682,0
465,GSM,427,1,9102,23913,0,51.599743,25.145497,2255,213,1,1352369120,1477218940,0
466,GSM,427,1,9102,22773,0,51.509981,24.990437,17671,130,1,1352369121,1486883774,0
467,GSM,427,1,9102,24053,0,51.576554,24.955101,2673,40,1,1352369121,1486883774,0
468,GSM,427,1,9102,24052,0,51.578995,24.941987,14501,50,1,1352369121,1474120822,0
469,GSM,427,1,9102,23063,0,51.577212,25.166318,1838,75,1,1352369121,1465088640,0
470,GSM,427,1,9102,24711,0,51.576303,25.166183,1931,202,1,1352369121,1453575686,0
471,GSM,427,1,9402,25441,0,51.487693,25.383113,1584,49,1,1352369123,1487233632,0
472,GSM,427,1,9601,24841,0,51.469385,25.387148,3239,91,1,1352369123,1458700544,0
473,GSM,427,1,9101,21841,0,51.517582,25.243493,6944,24,1,1352369124,1479975773,0
474,GSM,427,1,9302,22461,0,51.469224,25.295534,1628,481,1,1352369124,1484749240,0
475,GSM,427,1,9302,22463,0,51.462261,25.295595,1976,274,1,1352369124,1477281446,0
476,GSM,427,1,9302,21362,0,51.454673,25.29796,1866,57,1,1352369124,1465950517,0
477,GSM,427,1,9302,25403,0,51.44692,25.297609,3137,175,1,1352369124,1494490149,0
478,GSM,427,1,9302,21363,0,51.446699,25.297736,1000,267,1,1352369124,1464221744,0
479,GSM,427,1,9501,20193,0,51.499157,25.267029,2750,72,1,1352369124,1490927316,0
480,GSM,427,1,9101,20163,0,51.504962,25.255831,770,211,1,1352369124,1493820716,0
481,GSM,427,1,9101,20022,0,51.489312,25.228822,2229,439,1,1352369125,1491498356,0
482,GSM,427,1,9302,21413,0,51.366137,25.198262,4907,89,1,1352369125,1474370368,0
483,GSM,427,1,9201,24493,0,51.422284,25.203102,3404,31,1,1352369127,1487931161,0
484,GSM,427,1,9201,29362,0,51.400251,25.207878,2552,341,1,1352369127,1431556728,0
485,GSM,427,1,9202,23673,0,51.424608,25.220819,1797,521,1,1352369127,1490672298,0
486,GSM,427,1,9202,22502,0,51.439634,25.229911,1527,888,1,1352369127,1489147659,0
487,GSM,427,1,9202,24772,0,51.446932,25.234187,1000,232,1,1352369127,1481547164,0
488,GSM,427,1,9202,24771,0,51.45052,25.236466,1060,336,1,1352369127,1485698212,0
489,GSM,427,1,9202,40292,0,51.472691,25.248173,1313,504,1,1352369127,1485698212,0
490,GSM,427,1,9202,40293,0,51.467155,25.246431,1577,390,1,1352369127,1485698212,0
491,GSM,427,1,9202,40291,0,51.473377,25.250419,1404,364,1,1352369127,1485698212,0
492,GSM,427,1,9202,22492,0,51.482759,25.254398,3801,376,1,1352369128,1489674801,0
493,GSM,427,1,9202,22491,0,51.49122,25.260508,1144,423,1,1352369128,1489674801,0
494,GSM,427,1,9501,20191,0,51.505282,25.26908,1000,281,1,1352369128,1490927316,0
495,GSM,427,1,9501,25103,0,51.507259,25.26912,1000,68,1,1352369128,1490927316,0
496,GSM,427,1,9501,23892,0,51.509524,25.271283,1000,154,1,1352369128,1474507356,0
497,GSM,427,1,9501,20521,0,51.508745,25.275846,1133,126,1,1352369128,1490927316,0
498,GSM,427,1,9501,20622,0,51.506996,25.280247,1000,72,1,1352369128,1490927316,0
